Date,Open,Close/Last,High,Low
03/22/2021,57558.1,54577,55287.5,53842.1
03/21/2021,57809.8,57316.4,57443.4,56357.5
03/20/2021,58419.7,57754.5,58583.8,57471.4
03/19/2021,57773,58296.2,58877.5,57863
03/18/2021,58724.5,57859.3,57876.5,56305.1
03/17/2021,55489.5,58727.6,59489.4,58621.9
03/16/2021,54277.3,55835.2,57121,55683.4
03/15/2021,60347.5,54269.4,56024.1,53342.6
03/14/2021,61350.2,60375.5,60459.9,58859
03/13/2021,56865.6,61218.9,61673.7,60755.8
03-12-2021,56702.6,56485.1,57271.8,56118.8
03-11-2021,55812.7,56710.6,58052.3,56545.9
03-10-2021,53694.3,55667.1,56461,55168.1
03-09-2021,53714.1,53565.5,55772.3,53187.5
03-08-2021,50450.8,53878.4,54077.9,51941.3
03-07-2021,49485.6,50411.2,51801.1,50141.4
03-06-2021,48467.1,49501.2,49881.4,48890.6
03-05-2021,46677.4,48447.7,49132.7,48166.4
03-04-2021,49029.8,47132,48363.6,46370.1
03-03-2021,49126.2,49278.1,51757.7,49111.5
03-02-2021,49161.1,49207.5,49309.1,48159.2
03-01-2021,46464.4,49053,50191.9,48662.2
02/28/2021,44403.5,46566.6,46809.5,45008.8
02/27/2021,47686.9,44741,46582,44346.9
02/26/2021,47011.8,47762.9,48018.5,46205.2
02/25/2021,49651.9,47020,47749.1,46051.2
02/24/2021,50783,49822.7,50857.8,49597.9
02/23/2021,50636.7,50884.3,51299.1,47031.7
02/22/2021,55807.3,50379,54115,50161.2
02/21/2021,56715.9,55531.8,57480.5,55128.5
02/20/2021,55829.6,56537.3,56895.2,55502.7
02/19/2021,51162.8,55941.9,56552.6,55415.1
02/18/2021,52170.7,51137.3,51925.3,50816.8
02/17/2021,49360.2,52070.7,52524,51731.3
02/16/2021,49349.4,49273.4,50209.6,49018.1
02/15/2021,46875.7,49224.3,49951,47044.4
02/14/2021,47558.1,46784.5,48936.5,45786.1
02/13/2021,47840,47564.1,47698.3,47051.9
02-12-2021,47309.6,47856.3,48097.3,47271
02-11-2021,44648.8,47123.7,48927.4,46950.9
02-10-2021,46022.3,44618.5,44993.5,44041
02-09-2021,46841.3,46010.7,46865.5,45652.1
02-08-2021,38596.3,46400.5,47405.3,45603.3
02-07-2021,38328.5,38611.7,39123.6,38057
02-06-2021,39208.2,37990.1,39611.9,37987.2
02-05-2021,37284.7,39259.4,39653.1,38275.3
02-04-2021,37696.7,37299.4,37488.4,36640
02-03-2021,36618.4,37634.5,38298.5,37375.9
02-02-2021,33904.7,36609.2,36843.5,35401.5
02-01-2021,33554.3,33869.6,34150.4,33462.4
01/31/2021,34031.8,33580.3,33937.7,32324.9
01/30/2021,33512,33930.3,34348.3,33687.3
01/29/2021,33762.7,33424.5,34920.9,32908.5
01/28/2021,31342,33093.1,34325.8,32839.8
01/27/2021,31887.7,31258.1,31602,29911.9
01/26/2021,32027.9,31721.7,32545.4,31556.2
01/25/2021,33397.7,32007.5,32820.1,31493.3
01/24/2021,32838.3,33348.7,33739.5,32205.1
01/23/2021,32598.5,32659.8,32702.9,31692.5
01/22/2021,30933.8,32635.2,32994.1,32088.2
01/21/2021,34249.9,30812.8,31380,28871.2
01/20/2021,35261.1,34462.6,35591.1,34256.8
01/19/2021,36332.8,35386.8,36384.4,34857
01/18/2021,35132.9,36406.6,37270.5,36360.3
01/17/2021,35857.6,34976.6,36195.2,34890.7
01/16/2021,36582.2,35955.7,36723.7,35592.7
01/15/2021,38459.4,36549.4,37608.6,36022.9
01/14/2021,37485.3,38569.2,39715,38354.6
01/13/2021,33179.3,37370.9,38133.2,36772.1
01-12-2021,35278.4,33168.2,34297,32451.9
01-11-2021,35567.4,34771.4,35490,33729.6
01-10-2021,40378.2,35633.7,38217.2,33688.8
01-09-2021,40236.9,40390.8,41362.4,40149.7
01-08-2021,38721.8,40378.7,40950.2,39556.7
01-07-2021,37492.9,38713.3,39701.2,36613.4
01-06-2021,35320.3,37490,37714.8,36494.1
01-05-2021,30918.3,35228.7,35739.4,33408.3
01-04-2021,33288.9,31381.1,32846.9,30460.5
01-03-2021,33238.9,33328.7,33587.5,32453.1
01-02-2021,29382.6,32861.6,32884.7,32029.6
01-01-2021,29245,29400.6,29496.7,29008
12/31/2020,29024.8,29238.8,29482.3,28724.3
12/30/2020,27903.6,28940.6,29298.8,28334.2
12/29/2020,26443.7,27838.5,28192.6,27377
12/28/2020,26847.4,26381.2,27089.4,26205.1
12/27/2020,26715.1,26946.1,27331.6,26144.3
12/26/2020,24811.2,26710.9,26937.5,26438.4
12/25/2020,23603.6,24911.2,25011,24515.1
12/24/2020,23023.4,23577.7,23814.1,23445.3
12/23/2020,23470,22977.4,23253.2,22737.3
12/22/2020,22948.2,23516.6,24028.9,23500.7
12/21/2020,23912.5,22954.2,23060.8,22481
12/20/2020,23410,23901.2,24101.9,23321.1
12/19/2020,23047.1,23300.3,23843.6,23098.9
12/18/2020,22867.7,23083.2,23229.1,22923.1
12/17/2020,21786.2,22947.3,23241.3,22493.9
12/16/2020,19335,21837.6,22148.4,21243.1
12/15/2020,19484.8,19381.2,19491.7,19299.7
12/14/2020,19265.1,19309.3,19556.3,19250.3
12/13/2020,18790.9,19083,19326.2,19007
12-12-2020,18277.1,18867.2,18883.6,18716.8
12-11-2020,17962.6,18384,18390.1,18025.1
12-10-2020,18400.6,17984,18288.3,17733.8
12-09-2020,18153.8,18455.5,18551.8,18339.6
12-08-2020,19182.5,18217.9,18371.5,18053
12-07-2020,19290,19178.5,19236,19141.1
12-06-2020,19191.3,19288.8,19424.6,19166.9
12-05-2020,18816.8,19203.7,19340.1,19141
12-04-2020,19170.8,18884.1,18921.3,18507.1
12-03-2020,19040.9,19288.2,19529.5,19140.2
12-02-2020,18519.1,19065.4,19295,18954.6
12-01-2020,19380.4,18507.3,18954.5,18346.7
11/30/2020,18535,19466.8,19717.6,19366.8
11/29/2020,17771.7,18511.3,18616.7,18186
11/28/2020,16969.4,17791.7,17864,17530.4
11/27/2020,17070.3,16938.7,17191.5,16915.9
11/26/2020,17757.1,17071.3,17450.3,17037.8
11/25/2020,18690.9,17777.1,18894.9,17279.7
11/24/2020,18448.2,18779.6,19216.6,18769.4
11/23/2020,18461.3,18423.7,18527.7,18230
11/22/2020,18593.9,18453.4,18516.7,18016
11/21/2020,18583.1,18582.4,18751.5,18367.6
11/20/2020,18195,18614.6,18966,18467.5
11/19/2020,17847.3,18180,18225.4,17758.4
11/18/2020,18377.9,17843.5,18054.8,17594.6
11/17/2020,16672.6,18376.8,18393.2,17613.2
11/16/2020,16032.5,16648.2,16825.9,16562
11/15/2020,15937.4,16004.3,16042.1,15870.7
11/14/2020,16149.6,15924.2,16102.3,15879.5
11/13/2020,16405.1,16116.8,16328.2,16111.2
11-12-2020,15666.2,16395.1,16474.1,16270.7
11-11-2020,15372.5,15659.1,15712.1,15483.5
11-10-2020,15385.1,15385.2,15497.5,15281
11-09-2020,15385.7,15396.9,15431.2,15192.7
11-08-2020,14967.7,15395.6,15598.4,15364.2
11-07-2020,15556.5,15030.2,15106.5,14720.7
